20:06:11:979 [ALWAYS]	GUDE Logging Started
20:06:11:980 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
20:06:11:980 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
20:06:11:980 [ERROR]	Initialize resume cache pointer failure
20:06:11:981 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
20:06:11:982 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
20:06:14:893 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
20:06:14:893 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
20:06:14:894 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
20:06:14:894 [ERROR]	Initialize resume cache pointer failure
20:06:14:894 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
20:06:14:894 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
